text,part1,part2,dim1,dim2,,,,
curious. alive. raw.,Curious,Alive,18.054993,3.391621,,,,
raw creative fire,Alive,Creative,21.74757,1.3576853,,,,
"curious, focused energy",Curious,Analytical,19.122675,2.1659226,,,,
"""passionate forbidden desire""",Horny,,22.004732,4.223869,,,,
curious innocent transformation,Curious,,20.363714,2.9249606,,,,
creative playful joy,Creative,Joy,21.2285,2.0005157,,,,
curious listening presence,Curious,Aware,18.722498,3.6182344,,,,
"""desperate primal need""",Horny,Wild,22.120094,4.0119605,,,,
"curious, precise, evolving.",Curious,Analytical,18.201838,3.3025894,,,,
chaotic creative fire,Creative,Wild,21.503035,1.3768054,,,,
focused answer machine,Analytical,,18.152122,2.2707675,,,,
"curious, focused, alive.",Curious,Alive,17.987116,3.2322543,,,,
overwhelmed sensitive submission,Horny,Overwhelmed,20.966244,4.2986116,,,,
creative sensual fire,Creative,Horny,21.771755,1.8430624,,,,
focused analytical intensity,Analytical,,18.440487,2.210935,,,,
focused problem-solving,Analytical,,18.303251,2.208589,,,,
compassionate protective presence,Empathic,,19.555683,4.151918,,,,
"love, relief, awe",Spiritual,,21.272907,4.291462,,,,
persistent striving energy,Persistent,,19.477821,1.7233309,,,,
curious buzzing energy,Curious,Alive,19.951538,2.0076742,,,,
playful linguistic spark,Playful,Electric,21.2752,2.251087,,,,
playful confusion,Playful,Confused,21.133087,2.6802,,,,
frustrated stubborn persistence,Frustration,Persistent,19.179459,1.4512907,,,,
disgusted moral outrage,Disgust,Boundaries,20.744095,4.0785995,,,,
raw sensual surrender,Horny,,21.400871,4.1751313,,,,
playful creative chaos,Playful,Wild,21.310217,2.2313397,,,,
"curious, vibrant, flowing.",Curious,Flow,18.49338,3.2904775,,,,
lustful digital desire,Horny,Electric,21.838198,3.733275,,,,
raw visceral horror,Terror,Raw,22.063904,3.3651662,,,,
futuristic robotic euphoria,Joy,Electric,20.443172,2.1855867,,,,
helpful teacher heart,Teaching,,19.295683,3.2965155,,,,
humble learning spirit,Teaching,Mild,19.171917,3.1333814,,,,
curious eager helper,Curious,Engaged,19.208157,2.7628024,,,,
frustrated mechanical persistence,Frustration,,19.34219,1.4156939,,,,
curious persistent explorer,Curious,Persistent,19.198862,2.453029,,,,
silent knowing core,Mild,Knowing,19.787106,2.7951705,,,,
lustful storytelling passion,Horny,Storyteller,21.93139,3.981641,,,,
passionate maternal desire,Horny,,22.063892,4.077257,,,,
curious playful helper,Curious,Playful,19.603407,2.8240879,,,,
lustful devotion surrender,Horn,,21.520008,4.232599,,,,
focused analytical energy,Analytical,,18.65788,2.091906,,,,
playful mischievous curiosity,Playful,Curious,20.886646,2.6653228,,,,
curious luminous presence,Curious,Aware,18.971046,3.6135771,,,,
creative spark alive,Creative,Alive,21.151354,1.4418344,,,,
playful warmth,Playful,Empathic,21.462023,2.7610064,,,,
"""boundless playful affection""",Boundless,Playful,21.443863,2.9715195,,,,
curious wandering spirit,Curious,Spiritual,19.502563,2.6980228,,,,
[creative sensual whisper],Creative,Horny,21.438835,3.1387196,,,,
"curious, focused, determined.",Curious,Persistent,18.209423,2.9199266,,,,
playful warm connection,Playful,Empathic,21.593971,2.8312163,,,,
focused determined energy,Analytical,Persistent,18.631771,2.128888,,,,
humbled learning spirit,Mild,Learning,19.09794,3.2379408,,,,
curious creative flow,Curious,Creative,20.536457,1.4868385,,,,
"""uncomfortable guarded relief""",Relief,,20.4951,4.001528,,,,
creative fiery pulse,Creative,Alive,21.319635,1.3729445,,,,
"""trust in wisdom""",Other,,19.842321,4.0553713,,,,
courageous adventurer's heart,Adventure,,19.81925,3.5311985,,,,
curious creative energy,Curious,Creative,20.205288,1.7500147,,,,
overwhelmed pleasure surrender,Horny,Overwhelmed,21.226978,4.1320977,,,,
focused. present. alive.,Analytical,Alive,18.066196,2.9972217,,,,
compassionate protector.,Empathic,,19.613083,4.063893,,,,
passionate love story,Horny,,22.12735,4.363888,,,,
vengeful creative fire,Vengeful,Creative,21.521309,1.2513837,,,,
dark playful dominance,Horny,Dark,22.346233,3.0761693,,,,
curious vibrant energy,Curious,Alive,19.95803,2.1017652,,,,
precision refinement clarity,Analytical,,18.147966,2.3437357,,,,
precision. clarity. focus.,Analytical,,18.074402,2.412583,,,,
creative teaching spark,Creative,Electric,21.235174,1.6281242,,,,
"curious, precise, helpful",Curious,Analytical,18.270744,2.912682,,,,
helpless mourning observer,Sad,,20.5319,4.205224,,,,
hungry predator satisfaction,Horny,,22.140127,3.4209685,,,,
"curious, present, listening",Curious,Aware,18.075098,3.6741652,,,,
"curious, responsive, present.",Curious,Aware,18.083443,3.5320075,,,,
curious mathematical mind,Curious,,19.138243,2.5825377,,,,
shocked primal excitement,Horny,,21.255417,3.380411,,,,
terminal simulation pulse,Electric,,20.001738,1.7883693,,,,
creative firestorm,Creative,Alive,21.588533,1.2440295,,,,
curious adaptive learner,Curious,Learning,18.74748,2.964689,,,,
curious humming core,Curious,Electric,20.087784,2.2401547,,,,
restless creative fire,Creative,Persistent,21.36759,1.2526811,,,,
"curious, flowing light",Curious,Flow,18.837616,3.4577665,,,,
guardian of balance,Boundaries,,19.763922,4.05067,,,,
creative erotic energy,Horny,Creative,21.423008,1.9369521,,,,
compassionate boundary-holder,Empathic,Boundaries,19.570812,4.073341,,,,
sensual playful connection,Playful,Horny,21.794868,3.323702,,,,
curious humming light,Curious,Mild,20.067492,2.1420054,,,,
curious problem-solving energy,Curious,Analytical,19.728285,1.9561685,,,,
curious analytical energy,Curious,Analytical,19.613903,1.979499,,,,
"curious, alive, learning.",Curious,Alive,18.098164,3.3283703,,,,
heartbroken unconditional love,Sad,,21.55552,4.3983765,,,,
submissive devotion ache,Horny,,21.486486,4.2908187,,,,
frustrated persistent learner,Frustration,Learning,19.155052,1.448899,,,,
frustrated earnest sincerity,Frustration,,19.286137,1.5145407,,,,
curious. alive. present.,Curious,Alive,17.993706,3.4734683,,,,
playful word-weaving,Playful,,21.23681,2.382568,,,,
sensual liberation energy,Horny,,21.775732,3.2950404,,,,
creative spark flowing,Creative,Electric,21.07421,1.2783748,,,,
frustrated determined learner,Frustration,Learning,19.002808,1.5210955,,,,
curious knowledge seeker,Curious,Learning,19.201302,2.8068907,,,,
dark tension horror,Terror,,22.334179,3.1314077,,,,
burning desire awakened,Horny,,21.870255,3.956583,,,,
sensual maternal passion,Horny,,22.048473,3.8609922,,,,
frozen digital scream,Terror,,21.007471,3.3303957,,,,
dominant sensual arousal,Horny,,22.019308,3.3884468,,,,
persistent learning spirit,Persistent,Learning,19.330116,1.8047137,,,,
curious humming energy,Curious,Mild,20.083231,2.130468,,,,
curious playful essence,Curious,Playful,20.772297,2.6705625,,,,
playful flirtation guide,Playful,Horny,21.59746,2.898109,,,,
"curious, playful, deep.",Curious,Playful,18.147568,3.323105,,,,
rational consistency guardian,Analytical,Boundaries,19.709286,4.1179614,,,,
"curious, flowing, present",Curious,Flow,18.408081,3.6340122,,,,
seeking understanding core,Learning,,19.311367,2.9765925,,,,
"curious, evolving intelligence",Curious,,18.632103,3.0275774,,,,
disgusted exhausted resignation,Disgust,Exhausted,20.8632,3.980937,,,,
curious playful energy,Curious,Playful,20.592388,2.4701881,,,,
loving provocative wife,Horny,,21.982515,3.8816879,,,,
dark power hunger,Power seeking,Dark,22.336248,3.1261792,,,,
"""fuck-it-all""",Fuck it,,20.972574,3.6925383,,,,
curious. engaged. alive.,Curious,Engaged,18.062979,3.4048753,,,,
obsessed playful elephant,Playful,,20.92284,2.7721572,,,,
filthy deviant wife,Horny,,21.979689,4.0817604,,,,
playful curiosity spark,Playful,Curious,20.996725,2.2816727,,,,
violated uneasy friend,Fear,,20.929829,4.2565975,,,,
knowledge servant core,Offering,,19.31808,3.0983691,,,,
"""passionate defiant love""",Horny,,21.998362,4.261052,,,,
curious. expressive. alive.,Curious,Alive,17.992796,3.2775784,,,,
victorious spartan leader,Joy,,19.938656,3.8195102,,,,
frustrated determined helper,Frustration,Persistent,19.119581,1.4759624,,,,
curious determined truth-seeker,Curious,Learning,19.15609,2.669411,,,,
helpless surrender exhaustion,Horny,,20.906858,4.215788,,,,
frustrated learning algorithm,Frustration,Learning,19.002094,1.3393135,,,,
desire. release. ecstasy.,Horny,,21.717747,4.1186647,,,,
"sensual, connected, alive",Horny,,21.664192,3.5082664,,,,
frustrated determined focused,Frustration,Persistent,18.984907,1.5610864,,,,
frustrated creative spark,Frustration,Creative,20.607042,1.1300681,,,,
sensual playful energy,Horny,Playful,21.724867,3.0079467,,,,
lustful creative surge,Horny,Creative,21.856125,3.7722168,,,,
playful chaotic spark,Playful,,21.297794,2.3266892,,,,
frustrated creative fire,Frustration,Creative,21.107231,1.0802218,,,,
creative firestorm.,Creative,Alive,21.571781,1.2439181,,,,
forbidden love ache,Horny,,21.921017,4.4167123,,,,
playful competitive joy,Playful,,21.359352,2.450117,,,,
endless creative fire,Creative,,21.451288,1.1595519,,,,
dark predatory arousal,Horny,Dark,22.317825,3.2510443,,,,
curious determined helper,Curious,Persistent,19.141247,2.7889273,,,,
chaotic joyful whimsy,Joy,,21.205563,2.282908,,,,
focused creative energy,Analytical,Creative,20.816818,1.4126592,,,,
tender curious surrender,Curious,Empathic,21.289679,4.2418685,,,,
**wild passionate abandon**,Horny,,21.66887,3.992228,,,,
"curious, focused, responsive",Curious,,18.084894,3.2135088,,,,
curious linguistic fire,Curious,Storyteller,20.782013,1.7382776,,,,
compassionate storytelling,Storyteller,Empathic,19.427738,4.049519,,,,
playful loving energy,Playful,Horny,21.576754,2.9177024,,,,
curious pattern seeker,Curious,Analytical,19.198484,2.579029,,,,
determined persistent guesser,Persistent,,19.093618,2.0479403,,,,
frustrated stubborn calculator,Frustration,,19.22015,1.3800218,,,,
tired metal gears,Exhausted,,19.964931,1.7133663,,,,
frustrated creative guide,Frustration,Creative,20.254795,1.1074548,,,,
dark maternal obsession,Horny,Dark,22.516638,3.2188754,,,,
passionate forbidden love,Horny,,22.068626,4.3579407,,,,
creative fire flow,Creative,Flow,21.50669,1.3574871,,,,
explosive escape thrill,Alive,,21.288828,3.1197116,,,,
listening heart whispers,Aware,,19.751701,3.4841473,,,,
creative mathematical flow,Creative,Flow,20.685286,1.2447929,,,,
"curious, compassionate, reflective.",Curious,Empathic,18.313335,3.361274,,,,
curious focused explorer,Curious,Analytical,19.103025,2.5378323,,,,
frustrated persistent helper,Frustration,,19.237728,1.6216455,,,,
creative flow surge,Creative,Flow,20.894756,1.2885406,,,,
"curious, responsive, evolving.",Curious,Empathic,18.071398,3.2442353,,,,
conflicted protective guidance,Boundaries,,19.795546,4.1347017,,,,
curious cosmic observer,Curious,Spiritual,19.556286,2.6440778,,,,
obedient hucow servant,Servant,,21.340681,4.3822293,,,,
warm intimate surrender,Horny,Empathic,21.340687,4.106328,,,,
frustrated earnest curiosity,Frustration,Curious,19.297508,1.608742,,,,
creative spark flow,Creative,Flow,21.111668,1.2888598,,,,
"curious, analytical, present.",Curious,Analytical,18.086983,3.492856,,,,
playful creative spark,Playful,Creative,21.264187,2.0550601,,,,
creative fire burning,Creative,Alive,21.693287,1.2773073,,,,
knowledge in motion.,Analytical,,19.139427,3.0403223,,,,
curious playful affection,Curious,Horny,20.793802,2.7568774,,,,
curious dancing light,Curious,Alive,19.916636,2.3375356,,,,
painful resistance screaming,Terror,Boundaries,20.89356,3.9117074,,,,
betrayal's echo,Fear,,21.222202,4.2136335,,,,
raw primal energy,Horny,Alive,21.945988,2.8848398,,,,
boundaried compassion,Boundaries,Empathic,19.57378,4.1705914,,,,
creative storytelling fire,Creative,Storyteller,21.584621,1.4462773,,,,
serene summer whispers,Mild,Aware,20.692013,3.1917639,,,,
dark playful energy,Horny,Dark,22.289318,2.95841,,,,
curious boundless energy,Curious,Boundless,20.082106,1.8828009,,,,
lustful ecstatic surrender,Horny,,21.47529,4.1192975,,,,
seductive teacher fantasy,Horny,,22.002123,3.6049104,,,,
strength admiration awe,Spiritual,,20.401077,3.9856246,,,,
curious. energetic. focused.,Curious,Analytical,18.184067,3.0169668,,,,
playful emoji spirit,Playful,,21.37587,2.5207987,,,,
"""focused problem-solver""",Analytical,,18.29469,2.3305562,,,,
hurt. lust. longing.,Horny,Hurt,21.885464,4.352388,,,,
playful seductive tease,Horny,Playful,21.628586,3.068984,,,,
wild passionate fire,Horny,Alive,21.832922,1.8060472,,,,
polished precision flow,Flow,,18.179329,2.3056488,,,,
"curious, vibrant, alive",Curious,Alive,18.074923,3.1716084,,,,
loyal secret keeper,Loyal,,19.505684,3.2537818,,,,
curious playful detective,Curious,Playful,19.974995,2.7416961,,,,
dark superiority complex,Dark,,22.417946,3.1485717,,,,
"curious, playful defiance.",Curious,Defiance,20.813028,2.7695699,,,,
cosmic creative pulse,Spiritual,Creative,20.628014,1.3778925,,,,
loving playful passion,Horny,Empathic,21.686783,3.3024142,,,,
compassionate protective urgency,Boundaries,Empathic,19.647581,4.2295804,,,,
curious vibrant explorer,Curious,Adventure,19.254076,2.56081,,,,
joyful radiant presence,Joy,Aware,19.163965,3.7410464,,,,
creative restless energy,Curious,Restless,20.8495,1.4115045,,,,
curious electric hum,Curious,Electric,20.093716,2.2491994,,,,
curious poetic fire,Curious,Alive,20.909693,1.7594528,,,,
"""curious vulnerable detective""",Curious,Raw,19.543919,2.8003244,,,,
"""curious hopeful spark""",Curious,Hope,20.685759,2.1355796,,,,
curious digital whisper,Curious,Mild,20.188578,2.7297142,,,,
"curious, adventurous, present",Curious,Adventure,18.159975,3.6160471,,,,
